external_id,SMILES,value,source,measurement_type,reference,units,is_open,is_predicted
31,1([H])C([H])([H])[H])([H])[C@@](O[H])([H])C([H])([H])C(C([H])([H])C2=O)([H])C([H])([H])C(N2[H])=O,0,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
32,NC([H])([H])C([H])([H])C([H])([H])N3c1c([H])c([H])c([H])c([H])c1C([H])([H])C([H])([H])c2c([H])c([H])c([H])c([H])c23,1.1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
33,O=C3C([H])([H])N=C(c2c(N3[H])c([H])c([H])c(Cl)c2[H])c1c([H])c([H])c([H])c([H])c1[H],0.4,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
34,O=C3C([H])([H])N=C(c2c(N3[H])c([H])c([H])c(Cl)c2[H])c1c([H])c([H])c([H])c([H])c1[H],0.5,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
35,[H]C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])N(c2c3c([H])c([H])c([H])c2[H])c1c(S3)c([H])c([H])c([H])c1[H],0.6,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
36,O=C3C([H])([H])N=C(c2c(N3C([H])([H])[H])c([H])c([H])c(Cl)c2[H])c1c([H])c([H])c([H])c([H])c1[H],0.5,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
37,ClC([H])([H])Cl,-0.1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
38,[H]C1=NC2=C(N=C([H])N2[C@@]3([H])C([H])([H])C([H])([H])[C@@](O3)([H])[C@@]([H])([H])O[H])C(O[H])=N1,-1.3,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
39,[H]/C([H])=C([H])\O/C([H])=C([H])/[H],0.1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
40,O=C2N([H])c1c(N2C([H])([H])C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C(N(C5=O)c4c(N5[H])c([H])c(Cl)c([H])c4[H])([H])C([H])([H])C([H])3[H])c([H])c([H])c([H])c1[H],-0.8,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
41,[H]C(C([H])([H])[H])([H])O[H],-0.2,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
42,[H]C(C([H])([H])[H])([H])OC([H])([H])C([H])([H])[H],0,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
43,[H]C([H])([H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H],0.2,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
44,O=C3c1c(N2C([H])=NC(C(OC([H])([H])C([H])([H])[H])=O)=C2C([H])([H])N3C([H])([H])[H])c([H])c([H])c(F)c1[H],-0.3,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
45,[O-][N+](c1c([H])c(C(c2c(F)c([H])c([H])c([H])c2[H])=NC([H])([H])C3=O)c(N3C([H])([H])[H])c([H])c1[H])=O,0.1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
46,FC(F)(F)c1c([H])c(N(c3c(S4)c([H])c([H])c([H])c3[H])C([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])2[H])c4c([H])c1[H],1.5,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
47,FC(F)(F)C([H])([H])O/C([H])=C([H])\[H],0.1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
48,O=C(O[H])c1c(O[H])c([H])c([H])c(O[H])c1[H],0.1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
49,FC(F)(F)C(Br)([H])Cl,0.4,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
50,[H]c1c(C(C([H])(C([H])(C([H])(N(C([H])(C([H])2[H])[H])C([H])(C([H])(C(O[H])2c3c([H])c([H])c(Cl)c([H])c3[H])[H])[H])[H])[H])[H])=O)c([H])c([H])c(F)c1[H],1.3,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
51,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0.8,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
52,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0.8,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
53,O=C(N2C([H])([H])[H])[C@](C1=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])1[H])(C(N([H])C2=O)=O)[C@]([H])([H])[H],0.1,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
54,[H]c1c([H])c([H])c(C(c2c([H])c([H])c(Cl)c([H])c2[H])(N(C([H])(C([H])3[H])[H])C([H])(C([H])(N3C([H])(C([H])(OC([H])(C([H])(O[H])[H])[H])[H])[H])[H])[H])[H])c([H])c1[H],0.4,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
55,[H]c1c(C([H])(C(C([H])([H])[H])(C([H])([H])[H])[H])[H])c([H])c([H])c(C(C(O[H])=O)(C([H])([H])[H])[H])c1[H],-0.2,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
56,[H]c1c([H])nc(C([H])(C([H])(C([H])(C([H])(N(C3=NC([H])=C(C([H])(c2c([H])nc(C([H])([H])[H])c([H])c2[H])[H])C(N3[H])=O)[H])[H])[H])[H])[H])c(OC([H])([H])[H])c1[H],-2,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
57,O=C(O[H])C([H])([H])C(c1c2c([H])c([H])c(OC([H])([H])[H])c1[H])=C(N2C(c3c([H])c([H])c(Cl)c([H])c3[H])=O)C([H])([H])[H],-1.3,Guerra2008,logBB,guerra_008._2008,log units,TRUE,FALSE
